page_url,link_url,link_text,link_type,status,final_url,load_ms,depth,effort,category,timestamp
https://fai.gov/,https://fai.gov/page/contact-us,Contact Us,Internal,200,https://fai.gov/page/contact-us,661,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/about/our-leadership,Our Leadership,Internal,200,https://fai.gov/about/our-leadership,500,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/training/continuous-learning-opportunities,continuous learning requirements,Internal,200,https://fai.gov/training/continuous-learning-opportunities,357,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/training/find-and-register-for-courses,find additional courses,Internal,200,https://fai.gov/training/find-and-register-for-courses,1106,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/about/legislative-authority,Legislative Authority,Internal,200,https://fai.gov/about/legislative-authority,443,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://public.govdelivery.com/accounts/USFAI/subscriber/qualify,Subscribe,External,200,https://public.govdelivery.com/accounts/USFAI/subscriber/qualify,339,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/about/awards-recognition-2019,Awards & Recognition,Internal,200,https://fai.gov/about/awards-recognition-2019,727,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://id.dau.edu/,FAI CSOD Login,External,200,https://id.dau.edu/app/UserHome?iss=https://id.dau.edu&session_hint=AUTHENTICATED,582,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/about/award-programs,Award Programs,Internal,200,https://fai.gov/about/award-programs,650,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/resources/cor-toolkit,COR Toolkit,Internal,200,https://fai.gov/resources/cor-toolkit,1559,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/resources/co-toolkit,CO Toolkit,Internal,200,https://fai.gov/resources/co-toolkit,1586,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/training/find-and-register-for-courses,Register,Internal,200,https://fai.gov/training/find-and-register-for-courses,1106,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/training/find-and-register-for-courses,Register,Internal,200,https://fai.gov/training/find-and-register-for-courses,1106,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/training/find-and-register-for-courses,Register,Internal,200,https://fai.gov/training/find-and-register-for-courses,1106,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://gsa.zoomgov.com/webinar/register/WN_5xhjIL8SRq-xDj2IwcNXPA,FAR Forward Office Hours Continue in FY26,External,200,https://gsa.zoomgov.com/webinar/register/WN_5xhjIL8SRq-xDj2IwcNXPA,290,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://gsa.zoomgov.com/webinar/register/WN_5xhjIL8SRq-xDj2IwcNXPA,Sign Up!,External,200,https://gsa.zoomgov.com/webinar/register/WN_5xhjIL8SRq-xDj2IwcNXPA,228,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/resources/toolkit,P/PM Toolkit,Internal,200,https://fai.gov/resources/toolkit,1807,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://www.acquisition.gov/far-overhaul/far-part-deviation-guide,See Streamlined FAR Parts & Deviations,External,200,https://www.acquisition.gov/far-overhaul/far-part-deviation-guide,761,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/sites/fai/files/OFPPAcquisitionFlashContinuousLearningCLRequirementUpdate.pdf,Updated FAC-C (Professional) Continuous Learning Requirements,Internal,200,https://fai.gov/sites/fai/files/OFPPAcquisitionFlashContinuousLearningCLRequirementUpdate.pdf,351,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/resources/acquisition-today,View All Newsletters,Internal,200,https://fai.gov/resources/acquisition-today,603,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://www.fai.gov/training/continuous-learning-opportunities,Continuous Learning requirements,External,200,https://www.fai.gov/training/continuous-learning-opportunities,359,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/about/about-fai,Learn More About FAI,Internal,200,https://fai.gov/about/about-fai,640,0,None,OK,2026-03-13 07:51:36 EST
https://fai.gov/,https://fai.gov/sites/fai/files/OFPPAcquisitionFlashContinuousLearningCLRequirementUpdate.pdf,Learn More!,Internal,200,https://fai.gov/sites/fai/files/OFPPAcquisitionFlashContinuousLearningCLRequirementUpdate.pdf,426,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/node/33683,Nominations Open: 2025 Acquisition Excellence Awards,Internal,200,https://fai.gov/node/33683,433,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/media-library,View All Media,Internal,200,https://fai.gov/media-library,450,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/,Top,Internal,200,https://fai.gov/,382,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/policy-regulations/policy/acquisition-policy/office-of-acquisition-policy/federal-acquisition-institute,Acquisition Today,External,200,https://www.gsa.gov/policy-regulations/policy/acquisition-policy/office-of-acquisition-policy/federal-acquisition-institute,166,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://twitter.com/FAIgov,,External,403,https://twitter.com/FAIgov,108,0,Low-Medium,4xx Client Error,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/node/33683,Find Out More,Internal,200,https://fai.gov/node/33683,422,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/node/24766,The FAC-C (Professional) Exam - Your Questions Answered,Internal,200,https://fai.gov/node/24766,471,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/page/contact-us,Contact FAI,Internal,200,https://fai.gov/page/contact-us,661,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/humancapital/acm,ACM/SAR Directory,Internal,200,https://fai.gov/humancapital/acm,673,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/training/frequently-asked-questions-faqs,FAQ,Internal,200,https://fai.gov/training/frequently-asked-questions-faqs,664,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/page/contact-us,Press Inquiries,Internal,200,https://fai.gov/page/contact-us,661,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/,,External,200,https://www.gsa.gov/,33,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/,General Services Administration,External,200,https://www.gsa.gov/,33,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/about-us,About GSA,External,200,https://www.gsa.gov/about-us,32,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/node/24766,Find Out More,Internal,200,https://fai.gov/node/24766,472,0,None,OK,2026-03-13 07:51:37 EST
